sepal.length,sepal.width,petal.length,petal.width,variety,date
5.1,3.5,1.4,q,Setosa,10/10/24
4.9,3,1.4,0.2,Setosa,10/11/24
4.7,3.2,1.3,0.2,Setosa,10/12/24
4.6,3.1,1.5,a,Setosa,10/13/24
5,3.6,1.4,0.2,Setosa,10/14/24
5.4,3.9,1.7,0.4,Setosa,10/15/24
4.6,3.4,1.4,0.3,Setosa,10/16/24
5,,1.5,0.2,Setosa,10/17/24
4.4,2.9,1.4,0.2,Setosa,10/18/24
4.9,3.1,1.5,0.1,Setosa,10/19/24
5.4,3.7,1.5,,Setosa,10/20/24
4.8,3.4,1.6,0.2,Setosa,10/21/24
4.8,3,1.4,0.1,Setosa,10/22/24
4.3,3,1.1,0.1,Setosa,10/23/24
33,4,1.2,0.2,Setosa,10/24/24
5.7,4.4,1.5,0.4,Setosa,10/25/24
5.4,c,1.3,0.4,Setosa,10/26/24
5.1,3.5,1.4,0.3,Setosa,10/27/24
5.7,3.8,1.7,0.3,Setosa,10/28/24
5.1,3.8,1.5,0.3,Setosa,10/29/24
5.4,3.4,1.7,0.2,Setosa,10/30/24
5.1,3.7,1.5,0.4,Setosa,10/31/24
4.6,3.6,1,0.2,Setosa,11/01/24
5.1,3.3,1.7,0.5,Setosa,11/02/24
,3.4,,0.2,Setosa,11/03/24
5,3,1.6,0.2,,11/04/24
5,3.4,1.6,0.4,Setosa,11/05/24
5.2,3.5,1.5,0.2,Setosa,11/06/24
5.2,3.4,1.4,0.2,Setosa,11/07/24
4.7,3.2,1.6,0.2,Setosa,11/08/24
4.8,3.1,1.6,0.2,Setosa,11/09/24
5.4,3.4,1.5,0.4,Setosa,11/10/24
5.2,4.1,1.5,0.1,Setosa,11/11/24
,,,0.2,Setosa,11/12/24
4.9,3.1,1.5,0.2,Setosa,11/13/24
5,3.2,1.2,0.2,Setosa,11/14/24
5.5,3.5,1.3,0.2,Setosa,11/15/24
4.9,3.6,1.4,0.1,Setosa,11/16/24
4.4,3,1.3,0.2,Setosa,11/17/24
5.1,3.4,1.5,0.2,Setosa,11/18/24
5,3.5,1.3,0.3,Setosa,11/19/24
4.5,2.3,1.3,0.3,Setosa,11/20/24
