sepal.length,sepal.width,petal.length,petal.width,variety,date
5.1,3.5,1.4,1,Setosa,2024-10-10
4.9,3.0,1.4,0,Setosa,2024-10-11
4.7,3.2,1.3,0,Setosa,2024-10-12
4.6,3.1,1.5,1,Setosa,2024-10-13
5.0,3.6,1.4,0,Setosa,2024-10-14
5.4,3.9,1.7,0,Setosa,2024-10-15
4.6,3.4,1.4,0,Setosa,2024-10-16
5.0,3.04,1.5,0,Setosa,2024-10-17
4.4,2.9,1.4,0,Setosa,2024-10-18
4.9,3.1,1.5,0,Setosa,2024-10-19
5.4,3.7,1.5,1,Setosa,2024-10-20
4.8,3.4,1.6,0,Setosa,2024-10-21
4.8,3.0,1.4,0,Setosa,2024-10-22
4.3,3.0,1.1,0,Setosa,2024-10-23
33.0,4.0,1.2,0,Setosa,2024-10-24
5.7,4.4,1.5,0,Setosa,2024-10-25
5.4,3.04,1.3,0,Setosa,2024-10-26
5.1,3.5,1.4,0,Setosa,2024-10-27
5.7,3.8,1.7,0,Setosa,2024-10-28
5.1,3.8,1.5,0,Setosa,2024-10-29
5.4,3.4,1.7,0,Setosa,2024-10-30
5.1,3.7,1.5,0,Setosa,2024-10-31
4.6,3.6,1.0,0,Setosa,2024-11-01
5.1,3.3,1.7,0,Setosa,2024-11-02
5.0,3.4,1.6,0,Setosa,2024-11-05
5.2,3.5,1.5,0,Setosa,2024-11-06
5.2,3.4,1.4,0,Setosa,2024-11-07
4.7,3.2,1.6,0,Setosa,2024-11-08
4.8,3.1,1.6,0,Setosa,2024-11-09
5.4,3.4,1.5,0,Setosa,2024-11-10
5.2,4.1,1.5,0,Setosa,2024-11-11
4.9,3.1,1.5,0,Setosa,2024-11-13
5.0,3.2,1.2,0,Setosa,2024-11-14
5.5,3.5,1.3,0,Setosa,2024-11-15
4.9,3.6,1.4,0,Setosa,2024-11-16
4.4,3.0,1.3,0,Setosa,2024-11-17
5.1,3.4,1.5,0,Setosa,2024-11-18
5.0,3.5,1.3,0,Setosa,2024-11-19
4.5,2.3,1.3,0,Setosa,2024-11-20
4.4,3.2,1.3,0,Setosa,2024-11-21
5.0,3.5,1.6,1,Setosa,2024-11-22
5.1,3.8,1.9,0,Setosa,2024-11-23
4.8,3.0,1.4,0,Setosa,2024-11-24
5.1,3.8,1.6,0,Setosa,2024-11-25
4.6,3.2,1.4,0,Setosa,2024-11-26
5.3,3.7,1.5,0,Setosa,2024-11-27
5.0,3.3,1.4,0,Setosa,2024-11-28
7.0,3.2,4.7,1,Versicolor,2024-11-29
6.4,3.2,4.5,2,Versicolor,2024-11-30
6.9,3.1,4.9,2,Versicolor,2024-12-01
5.5,2.3,4.0,1,Versicolor,2024-12-02
6.5,2.8,4.6,2,Versicolor,2024-12-03
5.7,2.8,4.5,1,Versicolor,2024-12-04
6.3,3.3,4.7,2,Versicolor,2024-12-05
4.9,2.4,3.3,1,Versicolor,2024-12-06
6.6,2.9,4.6,1,Versicolor,2024-12-07
5.2,2.7,3.9,1,Versicolor,2024-12-08
5.0,2.0,3.5,1,Versicolor,2024-12-09
5.9,3.0,4.2,2,Versicolor,2024-12-10
6.0,2.2,4.0,1,Versicolor,2024-12-11
6.1,2.9,4.7,1,Versicolor,2024-12-12
5.6,2.9,3.6,1,Versicolor,2024-12-13
6.7,3.1,4.4,1,Versicolor,2024-12-14
5.6,3.0,4.5,2,Versicolor,2024-12-15
5.8,2.7,4.1,1,Versicolor,2024-12-16
6.2,2.2,4.5,2,Versicolor,2024-12-17
5.6,2.5,3.9,1,Versicolor,2024-12-18
5.9,3.2,4.8,2,Versicolor,2024-12-19
6.1,2.8,4.0,1,Versicolor,2024-12-20
6.3,2.5,4.9,2,Versicolor,2024-12-21
6.1,2.8,4.7,1,Versicolor,2024-12-22
6.4,2.9,4.3,1,Versicolor,2024-12-23
6.6,3.0,4.4,1,Versicolor,2024-12-24
6.8,2.8,4.8,1,Versicolor,2024-12-25
6.7,3.0,5.0,2,Versicolor,2024-12-26
6.0,2.9,4.5,2,Versicolor,2024-12-27
5.7,2.6,3.5,1,Versicolor,2024-12-28
5.5,2.4,3.8,1,Versicolor,2024-12-29
5.5,2.4,3.7,1,Versicolor,2024-12-30
5.8,2.7,3.9,1,Versicolor,2024-12-31
6.0,2.7,5.1,2,Versicolor,2025-01-01
5.4,3.0,4.5,2,Versicolor,2025-01-02
6.0,3.4,4.5,2,Versicolor,2025-01-03
6.7,3.1,4.7,2,Versicolor,2025-01-04
6.3,2.3,4.4,1,Versicolor,2025-01-05
5.6,3.0,4.1,1,Versicolor,2025-01-06
5.5,2.5,4.0,1,Versicolor,2025-01-07
5.5,2.6,4.4,1,Versicolor,2025-01-08
6.1,3.0,4.6,1,Versicolor,2025-01-09
5.8,2.6,4.0,1,Versicolor,2025-01-10
5.0,2.3,3.3,1,Versicolor,2025-01-11
5.6,2.7,4.2,1,Versicolor,2025-01-12
5.7,3.0,4.2,1,Versicolor,2025-01-13
5.7,2.9,4.2,1,Versicolor,2025-01-14
6.2,2.9,4.3,1,Versicolor,2025-01-15
5.1,2.5,3.0,1,Versicolor,2025-01-16
5.7,2.8,4.1,1,Versicolor,2025-01-17
6.3,3.3,6.0,2,Virginica,2025-01-18
5.8,2.7,5.1,2,Virginica,2025-01-19
7.1,3.0,5.9,2,Virginica,2025-01-20
6.3,2.9,5.6,2,Virginica,2025-01-21
6.5,3.0,5.8,2,Virginica,2025-01-22
7.6,3.0,6.6,2,Virginica,2025-01-23
4.9,2.5,4.5,2,Virginica,2025-01-24
7.3,2.9,6.3,2,Virginica,2025-01-25
6.7,2.5,5.8,2,Virginica,2025-01-26
7.2,3.6,6.1,2,Virginica,2025-01-27
6.5,3.2,5.1,2,Virginica,2025-01-28
6.4,2.7,5.3,2,Virginica,2025-01-29
6.8,3.0,5.5,2,Virginica,2025-01-30
5.7,2.5,5.0,2,Virginica,2025-01-31
5.8,2.8,5.1,2,Virginica,2025-02-01
6.4,3.2,5.3,2,Virginica,2025-02-02
6.5,3.0,5.5,2,Virginica,2025-02-03
7.7,3.8,6.7,2,Virginica,2025-02-04
7.7,2.6,6.9,2,Virginica,2025-02-05
6.0,2.2,5.0,2,Virginica,2025-02-06
6.9,3.2,5.7,2,Virginica,2025-02-07
5.6,2.8,4.9,2,Virginica,2025-02-08
7.7,2.8,6.7,2,Virginica,2025-02-09
6.3,2.7,4.9,2,Virginica,2025-02-10
6.7,3.3,5.7,2,Virginica,2025-02-11
7.2,3.2,6.0,2,Virginica,2025-02-12
6.2,2.8,4.8,2,Virginica,2025-02-13
6.1,3.0,4.9,2,Virginica,2025-02-14
6.4,2.8,5.6,2,Virginica,2025-02-15
